 P.CHAVE  MODIFICACOES E INDICES
 XXXXXXXX XXXXXXXXXXXXXXXXXXXXX
 USINA    1                                 CAMARGOS            
 USINA    119                               HENRY BORDEN        
 VAZMIN        6
 USINA    281                               PONTE PEDRA         
 VAZMIN       35
 USINA    20                                BATALHA             
 VAZMIN       23
 USINA    102                               PASSO S JOAO        
 VAZMIN       50
 USINA    101                               SAO JOSE            
 VAZMIN       44
 USINA    57                                MAUA                
 VAZMIN       60
 USINA    83                                BAIXO IGUACU        
 VAZMIN      200
 USINA    89                                GARIBALDI           
 VAZMIN       81
 USINA    319                               FICT.MAUA           
 VAZMIN       60
 USINA    111                               PASSO REAL          
 VMAXT     1 2018  90.470 '%'
 USINA    114                               D. FRANCISCA        
 VAZMIN       15
 USINA    120                               JAGUARI             
 VAZMIN        4
 VMINT     1 2018  20.000 '%'
 USINA    122                               SANTA BRANCA        
 VAZMIN       30
 VMAXT     1 2018  89.470 '%'
 VMINT     1 2018  10.000 '%'
 VMAXT     2 2018  92.110 '%'
 VMAXT     3 2018 100.000 '%'
 VMAXT    11 2018  44.270 '%'
 VMAXT    12 2018  39.010 '%'
 VMAXT     1 2019  89.470 '%'
 VMAXT     2 2019  92.110 '%'
 VMAXT     3 2019 100.000 '%'
 VMAXT    11 2019  44.270 '%'
 VMAXT    12 2019  39.010 '%'
 VMAXT     1 2020  89.470 '%'
 VMAXT     2 2020  92.110 '%'
 VMAXT     3 2020 100.000 '%'
 VMAXT    11 2020  44.270 '%'
 VMAXT    12 2020  39.010 '%'
 VMAXT     1 2021  89.470 '%'
 VMAXT     2 2021  92.110 '%'
 VMAXT     3 2021 100.000 '%'
 VMAXT    11 2021  44.270 '%'
 VMAXT    12 2021  39.010 '%'
 VMAXT     1 2022  89.470 '%'
 VMAXT     2 2022  92.110 '%'
 VMAXT     3 2022 100.000 '%'
 VMAXT    11 2022  44.270 '%'
 VMAXT    12 2022  39.010 '%'
 USINA    123                               FUNIL               
 VAZMIN       70
 VMAXT     1 2018  62.050 '%'
 VMINT     1 2018  30.000 '%'
 VMAXT     2 2018  65.350 '%'
 VMAXT     3 2018  83.500 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    11 2018  76.900 '%'
 VMAXT    12 2018  57.100 '%'
 VMAXT     1 2019  62.050 '%'
 VMAXT     2 2019  65.350 '%'
 VMAXT     3 2019  83.500 '%'
 VMAXT     4 2019 100.000 '%'
 VMAXT    11 2019  76.900 '%'
 VMAXT    12 2019  57.100 '%'
 VMAXT     1 2020  62.050 '%'
 VMAXT     2 2020  65.350 '%'
 VMAXT     3 2020  83.500 '%'
 VMAXT     4 2020 100.000 '%'
 VMAXT    11 2020  76.900 '%'
 VMAXT    12 2020  57.100 '%'
 VMAXT     1 2021  62.050 '%'
 VMAXT     2 2021  65.350 '%'
 VMAXT     3 2021  83.500 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  76.900 '%'
 VMAXT    12 2021  57.100 '%'
 VMAXT     1 2022  62.050 '%'
 VMAXT     2 2022  65.350 '%'
 VMAXT     3 2022  83.500 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  76.900 '%'
 VMAXT    12 2022  57.100 '%'
 USINA    124                               LAJES               
 VAZMIN        6
 VMINT     1 2018  18.800 '%'
 USINA    133                               P. PASSOS           
 VAZMIN      120
 USINA    121                               PARAIBUNA           
 VAZMIN       10
 VMINT     1 2018   5.000 '%'
 USINA    132                               FONTES              
 VAZMIN        6
 USINA    134                               SALTO GRANDE        
 VAZMIN       15
 USINA    135                               P. ESTRELA          
 VAZMIN       10
 USINA    144                               MASCARENHAS         
 VAZMIN      210
 USINA    192                               GUILMAN-AMOR        
 VAZMIN       19
 USINA    139                               CANDONGA            
 VAZMIN       58
 USINA    156                               TRES MARIAS         
 VAZMINT   1 2018   80.00 
 VAZMINT   5 2018  420.00 
 VMAXT     1 2018  83.110 '%'
 VMAXT     2 2018  92.470 '%'
 VMAXT     3 2018 100.000 '%'
 VMAXT    11 2018  89.660 '%'
 VMAXT    12 2018  75.590 '%'
 VMAXT     1 2019  83.110 '%'
 VMAXT     2 2019  92.470 '%'
 VMAXT     3 2019 100.000 '%'
 VMAXT    11 2019  89.660 '%'
 VMAXT    12 2019  75.590 '%'
 VMAXT     1 2020  83.110 '%'
 VMAXT     2 2020  92.470 '%'
 VMAXT     3 2020 100.000 '%'
 VMAXT    11 2020  89.660 '%'
 VMAXT    12 2020  75.590 '%'
 VMAXT     1 2021  83.110 '%'
 VMAXT     2 2021  92.470 '%'
 VMAXT     3 2021 100.000 '%'
 VMAXT    11 2021  89.660 '%'
 VMAXT    12 2021  75.590 '%'
 VMAXT     1 2022  83.110 '%'
 VMAXT     2 2022  92.470 '%'
 VMAXT     3 2022 100.000 '%'
 VMAXT    11 2022  89.660 '%'
 VMAXT    12 2022  75.590 '%'
 USINA    169                               SOBRADINHO          
 VAZMINT   1 2018  600.00 
 VAZMINT   5 2018  900.00 
 VAZMINT   1 2020 1300.00 
 VMAXT     1 2018  77.710 '%'
 VMAXT     2 2018  77.680 '%'
 VMAXT     3 2018  77.560 '%'
 VMAXT     4 2018  75.390 '%'
 VMAXT     5 2018 100.000 '%'
 VMAXT    11 2018  78.500 '%'
 VMAXT    12 2018  77.800 '%'
 VMAXT     1 2019  77.710 '%'
 VMAXT     2 2019  77.680 '%'
 VMAXT     3 2019  77.560 '%'
 VMAXT     4 2019  75.390 '%'
 VMAXT     5 2019 100.000 '%'
 VMAXT    11 2019  78.500 '%'
 VMAXT    12 2019  77.800 '%'
 VMAXT     1 2020  77.710 '%'
 VMAXT     2 2020  77.680 '%'
 VMAXT     3 2020  77.560 '%'
 VMAXT     4 2020  75.390 '%'
 VMAXT     5 2020 100.000 '%'
 VMAXT    11 2020  78.500 '%'
 VMAXT    12 2020  77.800 '%'
 VMAXT     1 2021  77.710 '%'
 VMAXT     2 2021  77.680 '%'
 VMAXT     3 2021  77.560 '%'
 VMAXT     4 2021  75.390 '%'
 VMAXT     5 2021 100.000 '%'
 VMAXT    11 2021  78.500 '%'
 VMAXT    12 2021  77.800 '%'
 VMAXT     1 2022  77.710 '%'
 VMAXT     2 2022  77.680 '%'
 VMAXT     3 2022  77.560 '%'
 VMAXT     4 2022  75.390 '%'
 VMAXT     5 2022 100.000 '%'
 VMAXT    11 2022  78.500 '%'
 VMAXT    12 2022  77.800 '%'
 USINA    172                               ITAPARICA           
 VAZMINT   1 2018  600.00 
 VAZMINT   5 2018  900.00 
 VAZMINT   1 2020 1300.00 
 VMAXT     1 2018  56.000 '%'
 VMAXT     3 2018  61.100 '%'
 VMAXT     4 2018  99.010 '%'
 VMAXT     5 2018 100.000 '%'
 VMAXT    11 2018  77.850 '%'
 VMAXT    12 2018  58.990 '%'
 VMAXT     1 2019  56.000 '%'
 VMAXT     3 2019  61.100 '%'
 VMAXT     4 2019  99.010 '%'
 VMAXT     5 2019 100.000 '%'
 VMAXT    11 2019  77.850 '%'
 VMAXT    12 2019  58.990 '%'
 VMAXT     1 2020  56.000 '%'
 VMAXT     3 2020  61.100 '%'
 VMAXT     4 2020  99.010 '%'
 VMAXT     5 2020 100.000 '%'
 VMAXT    11 2020  77.850 '%'
 VMAXT    12 2020  58.990 '%'
 VMAXT     1 2021  56.000 '%'
 VMAXT     3 2021  61.100 '%'
 VMAXT     4 2021  99.010 '%'
 VMAXT     5 2021 100.000 '%'
 VMAXT    11 2021  77.850 '%'
 VMAXT    12 2021  58.990 '%'
 VMAXT     1 2022  56.000 '%'
 VMAXT     3 2022  61.100 '%'
 VMAXT     4 2022  99.010 '%'
 VMAXT     5 2022 100.000 '%'
 VMAXT    11 2022  77.850 '%'
 VMAXT    12 2022  58.990 '%'
 USINA    178                               XINGO               
 VAZMINT   1 2018  600.00 
 VAZMINT   5 2018  900.00 
 VAZMINT   1 2020 1300.00 
 USINA    162                               QUEIMADO            
 VAZMINT   1 2018    8.80 
 VAZMINT   5 2018   17.00 
 VAZMINT  11 2018    8.80 
 VAZMINT   5 2019   17.00 
 VAZMINT  11 2019    8.80 
 VAZMINT   5 2020   17.00 
 VAZMINT  11 2020    8.80 
 VAZMINT   5 2021   17.00 
 VAZMINT  11 2021    8.80 
 VAZMINT   5 2022   17.00 
 VAZMINT  11 2022    8.80 
 VMAXT     1 2018  64.440 '%'
 VMAXT     2 2018  63.910 '%'
 VMAXT     4 2018  66.000 '%'
 VMAXT     5 2018 100.000 '%'
 VMAXT    11 2018  69.670 '%'
 VMAXT    12 2018  67.050 '%'
 VMAXT     1 2019  64.440 '%'
 VMAXT     2 2019  63.910 '%'
 VMAXT     4 2019  66.000 '%'
 VMAXT     5 2019 100.000 '%'
 VMAXT    11 2019  69.670 '%'
 VMAXT    12 2019  67.050 '%'
 VMAXT     1 2020  64.440 '%'
 VMAXT     2 2020  63.910 '%'
 VMAXT     4 2020  66.000 '%'
 VMAXT     5 2020 100.000 '%'
 VMAXT    11 2020  69.670 '%'
 VMAXT    12 2020  67.050 '%'
 VMAXT     1 2021  64.440 '%'
 VMAXT     2 2021  63.910 '%'
 VMAXT     4 2021  66.000 '%'
 VMAXT     5 2021 100.000 '%'
 VMAXT    11 2021  69.670 '%'
 VMAXT    12 2021  67.050 '%'
 VMAXT     1 2022  64.440 '%'
 VMAXT     2 2022  63.910 '%'
 VMAXT     4 2022  66.000 '%'
 VMAXT     5 2022 100.000 '%'
 VMAXT    11 2022  69.670 '%'
 VMAXT    12 2022  67.050 '%'
 USINA    176                               COMP PAF-MOX        
 VAZMINT   1 2018  600.00 
 VAZMINT   5 2018  900.00 
 VAZMINT   1 2020 1300.00 
 USINA    155                               RETIRO BAIXO        
 VAZMIN       28
 USINA    295                               FICT.TRES MARIAS    
 VAZMINT   1 2018   80.00 
 VAZMINT   5 2018  420.00 
 VMAXT     1 2018  83.110 '%'
 VMAXT     2 2018  92.470 '%'
 VMAXT     3 2018 100.000 '%'
 VMAXT    11 2018  89.660 '%'
 VMAXT    12 2018  75.590 '%'
 VMAXT     1 2019  83.110 '%'
 VMAXT     2 2019  92.470 '%'
 VMAXT     3 2019 100.000 '%'
 VMAXT    11 2019  89.660 '%'
 VMAXT    12 2019  75.590 '%'
 VMAXT     1 2020  83.110 '%'
 VMAXT     2 2020  92.470 '%'
 VMAXT     3 2020 100.000 '%'
 VMAXT    11 2020  89.660 '%'
 VMAXT    12 2020  75.590 '%'
 VMAXT     1 2021  83.110 '%'
 VMAXT     2 2021  92.470 '%'
 VMAXT     3 2021 100.000 '%'
 VMAXT    11 2021  89.660 '%'
 VMAXT    12 2021  75.590 '%'
 VMAXT     1 2022  83.110 '%'
 VMAXT     2 2022  92.470 '%'
 VMAXT     3 2022 100.000 '%'
 VMAXT    11 2022  89.660 '%'
 VMAXT    12 2022  75.590 '%'
 USINA    294                               FICT.QUEIMADO       
 VAZMINT   1 2018    8.80 
 VAZMINT   5 2018   17.00 
 VAZMINT  11 2018    8.80 
 VAZMINT   5 2019   17.00 
 VAZMINT  11 2019    8.80 
 VAZMINT   5 2020   17.00 
 VAZMINT  11 2020    8.80 
 VAZMINT   5 2021   17.00 
 VAZMINT  11 2021    8.80 
 VAZMINT   5 2022   17.00 
 VAZMINT  11 2022    8.80 
 VMAXT     1 2018  64.440 '%'
 VMAXT     2 2018  63.910 '%'
 VMAXT     4 2018  66.000 '%'
 VMAXT     5 2018 100.000 '%'
 VMAXT    11 2018  69.670 '%'
 VMAXT    12 2018  67.050 '%'
 VMAXT     1 2019  64.440 '%'
 VMAXT     2 2019  63.910 '%'
 VMAXT     4 2019  66.000 '%'
 VMAXT     5 2019 100.000 '%'
 VMAXT    11 2019  69.670 '%'
 VMAXT    12 2019  67.050 '%'
 VMAXT     1 2020  64.440 '%'
 VMAXT     2 2020  63.910 '%'
 VMAXT     4 2020  66.000 '%'
 VMAXT     5 2020 100.000 '%'
 VMAXT    11 2020  69.670 '%'
 VMAXT    12 2020  67.050 '%'
 VMAXT     1 2021  64.440 '%'
 VMAXT     2 2021  63.910 '%'
 VMAXT     4 2021  66.000 '%'
 VMAXT     5 2021 100.000 '%'
 VMAXT    11 2021  69.670 '%'
 VMAXT    12 2021  67.050 '%'
 VMAXT     1 2022  64.440 '%'
 VMAXT     2 2022  63.910 '%'
 VMAXT     4 2022  66.000 '%'
 VMAXT     5 2022 100.000 '%'
 VMAXT    11 2022  69.670 '%'
 VMAXT    12 2022  67.050 '%'
 USINA    308                               FICT.RETIRO BAIXO   
 VAZMIN       28
 USINA    251                               SERRA MESA          
 VAZMIN      300
 USINA    275                               TUCURUI             
 VAZMIN     2000
 CFUGA     1 2018    6.77
 CFUGA     2 2018    8.85
 CFUGA     3 2018   12.10
 CFUGA     5 2018    9.90
 CFUGA     6 2018    6.60
 CFUGA     7 2018    5.40
 CFUGA     1 2019    8.90
 CFUGA     2 2019   11.00
 CFUGA     3 2019   12.10
 CFUGA     5 2019    9.90
 CFUGA     6 2019    6.60
 CFUGA     7 2019    5.40
 CFUGA     1 2020    8.90
 CFUGA     2 2020   11.00
 CFUGA     3 2020   12.10
 CFUGA     5 2020    9.90
 CFUGA     6 2020    6.60
 CFUGA     7 2020    5.40
 CFUGA     1 2021    8.90
 CFUGA     2 2021   11.00
 CFUGA     3 2021   12.10
 CFUGA     5 2021    9.90
 CFUGA     6 2021    6.60
 CFUGA     7 2021    5.40
 CFUGA     1 2022    8.90
 CFUGA     2 2022   11.00
 CFUGA     3 2022   12.10
 CFUGA     5 2022    9.90
 CFUGA     6 2022    6.60
 CFUGA     7 2022    5.40
 CFUGA    12 2022    8.60
 USINA    261                               LAJEADO             
 VAZMIN      255
 USINA    252                               CANA BRAVA          
 VAZMIN       90
 USINA    257                               PEIXE ANGIC         
 VAZMIN      360
 USINA    267                               ESTREITO TOC        
 VAZMIN      744
 USINA    253                               SAO SALVADOR        
 VAZMIN       90
 USINA    291                               FICT.SERRA MESA     
 VAZMIN      300
 VOLMAX   55.000 '%'
 USINA    292                               FICT.CANA BRAVA     
 VAZMIN       90
 USINA    306                               FICT.SAO SALVADOR   
 VAZMIN       90
 USINA    303                               FICT.PEIXE ANGIC    
 VAZMIN      360
 USINA    302                               FICT.LAJEADO        
 VAZMIN      255
 USINA    272                               CURUA-UNA           
 VAZMIN       17
 USINA    288                               BELO MONTE          
 VAZMIN      300
 NUMCNJ     1
 NUMMAQ     7   1
 USINA    277                               BALBINA             
 VAZMINT   1 2018  450.00 
 VAZMINT   4 2018  390.00 
 VAZMINT   9 2018  450.00 
 VAZMINT   4 2019  390.00 
 VAZMINT   9 2019  450.00 
 VAZMINT   4 2020  390.00 
 VAZMINT   9 2020  450.00 
 VAZMINT   4 2021  390.00 
 VAZMINT   9 2021  450.00 
 VAZMINT   4 2022  390.00 
 VAZMINT   9 2022  450.00 
 USINA    285                               JIRAU               
 VAZMIN     3240
 USINA    287                               STO ANTONIO         
 VAZMIN     3293
 USINA    227                               SINOP               
 VMAXT     6 2018  71.974 '%'
 VMAXT    11 2018 100.000 '%'
 VMAXT     6 2019  71.974 '%'
 VMAXT    11 2019 100.000 '%'
 VMAXT     6 2020  71.974 '%'
 VMAXT    11 2020 100.000 '%'
 VMAXT     6 2021  71.974 '%'
 VMAXT    11 2021 100.000 '%'
 VMAXT     6 2022  71.974 '%'
 VMAXT    11 2022 100.000 '%'
 USINA    230                               SAO MANOEL          
 NUMCNJ     1
 NUMMAQ     1   1
 USINA    154                               ITAPEBI             
 VAZMIN       38
 USINA    148                               IRAPE               
 VAZMIN       23
 VMAXT     1 2018  90.240 '%'
 VMAXT     2 2018  95.120 '%'
 VMAXT     3 2018  95.930 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    11 2018  92.680 '%'
 VMAXT    12 2018  88.070 '%'
 VMAXT     1 2019  90.240 '%'
 VMAXT     2 2019  95.120 '%'
 VMAXT     3 2019  95.930 '%'
 VMAXT     4 2019 100.000 '%'
 VMAXT    11 2019  92.680 '%'
 VMAXT    12 2019  88.070 '%'
 VMAXT     1 2020  90.240 '%'
 VMAXT     2 2020  95.120 '%'
 VMAXT     3 2020  95.930 '%'
 VMAXT     4 2020 100.000 '%'
 VMAXT    11 2020  92.680 '%'
 VMAXT    12 2020  88.070 '%'
 VMAXT     1 2021  90.240 '%'
 VMAXT     2 2021  95.120 '%'
 VMAXT     3 2021  95.930 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  92.680 '%'
 VMAXT    12 2021  88.070 '%'
 VMAXT     1 2022  90.240 '%'
 VMAXT     2 2022  95.120 '%'
 VMAXT     3 2022  95.930 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  92.680 '%'
 VMAXT    12 2022  88.070 '%'
 USINA    298                               FICT.IRAPE          
 VAZMIN       23
 VMAXT     1 2018  90.240 '%'
 VMAXT     2 2018  95.120 '%'
 VMAXT     3 2018  95.930 '%'
 VMAXT     4 2018 100.000 '%'
 VMAXT    11 2018  92.680 '%'
 VMAXT    12 2018  88.070 '%'
 VMAXT     1 2019  90.240 '%'
 VMAXT     2 2019  95.120 '%'
 VMAXT     3 2019  95.930 '%'
 VMAXT     4 2019 100.000 '%'
 VMAXT    11 2019  92.680 '%'
 VMAXT    12 2019  88.070 '%'
 VMAXT     1 2020  90.240 '%'
 VMAXT     2 2020  95.120 '%'
 VMAXT     3 2020  95.930 '%'
 VMAXT     4 2020 100.000 '%'
 VMAXT    11 2020  92.680 '%'
 VMAXT    12 2020  88.070 '%'
 VMAXT     1 2021  90.240 '%'
 VMAXT     2 2021  95.120 '%'
 VMAXT     3 2021  95.930 '%'
 VMAXT     4 2021 100.000 '%'
 VMAXT    11 2021  92.680 '%'
 VMAXT    12 2021  88.070 '%'
 VMAXT     1 2022  90.240 '%'
 VMAXT     2 2022  95.120 '%'
 VMAXT     3 2022  95.930 '%'
 VMAXT     4 2022 100.000 '%'
 VMAXT    11 2022  92.680 '%'
 VMAXT    12 2022  88.070 '%'
 USINA    189                               P. CAVALO           
 VAZMIN        3
 VMINT     1 2018  80.250 '%'
 VMINT     4 2018   0.000 '%'
 VMINT     1 2019  80.250 '%'
 VMINT     4 2019   0.000 '%'
 VMINT     1 2020  80.250 '%'
 VMINT     4 2020   0.000 '%'
 VMINT     1 2021  80.250 '%'
 VMINT     4 2021   0.000 '%'
 VMINT     1 2022  80.250 '%'
 VMINT     4 2022   0.000 '%'
 USINA    283                               STA CLARA MG        
 VAZMIN       15
 USINA    190                               B. ESPERANCA        
 VAZMIN      240
 VMAXT     1 2018  64.440 '%'
 VMAXT     2 2018  63.910 '%'
 VMAXT     4 2018  66.000 '%'
 VMAXT     5 2018 100.000 '%'
 VMAXT    11 2018  69.670 '%'
 VMAXT    12 2018  67.050 '%'
 VMAXT     1 2019  64.440 '%'
 VMAXT     2 2019  63.910 '%'
 VMAXT     4 2019  66.000 '%'
 VMAXT     5 2019 100.000 '%'
 VMAXT    11 2019  69.670 '%'
 VMAXT    12 2019  67.050 '%'
 VMAXT     1 2020  64.440 '%'
 VMAXT     2 2020  63.910 '%'
 VMAXT     4 2020  66.000 '%'
 VMAXT     5 2020 100.000 '%'
 VMAXT    11 2020  69.670 '%'
 VMAXT    12 2020  67.050 '%'
 VMAXT     1 2021  64.440 '%'
 VMAXT     2 2021  63.910 '%'
 VMAXT     4 2021  66.000 '%'
 VMAXT     5 2021 100.000 '%'
 VMAXT    11 2021  69.670 '%'
 VMAXT    12 2021  67.050 '%'
 VMAXT     1 2022  64.440 '%'
 VMAXT     2 2022  63.910 '%'
 VMAXT     4 2022  66.000 '%'
 VMAXT     5 2022 100.000 '%'
 VMAXT    11 2022  69.670 '%'
 VMAXT    12 2022  67.050 '%'
